Class	Property	Count	Min. Ann.	Max. Ann.	Min	Max	Mean	0	1	2	3	4	5	6	7	8	9	10	11	12	13
dbo:Organization	dbo:wikiPageID	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageLength	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	rdfs:comment	164068	M0	M1	0	1	0.958693956	0.04131	0.95869	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:abstract	164068	M1	M1	0	1	0.958669576	0.04133	0.95867	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	gold:hypernym	164068	M0	M1	0	1	0.81235829	0.18764	0.81236	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	foaf:name	164068	M0	ANY	0	33	0.628568642	0.49034	0.41732	0.0735	0.01573	0.00192	0.0004	0.00023	0.00015	0.00012	0.00007	0.00003	0.00005	0.00002	0.00002
dbo:Organization	dbp:name	164068	M0	ANY	0	465	0.61543994	0.51711	0.45084	0.02376	0.00283	0.00087	0.00046	0.00023	0.0002	0.00018	0.00015	0.00014	0.00017	0.00018	0.00012
dbo:Organization	foaf:homepage	164068	M0	M1	0	18	0.533626301	0.48903	0.48997	0.02006	0.00065	0.00012	0.0001	0.00001	0.00004	0	0.00001	0	0.00001	0	0
dbo:Organization	foaf:depiction	164068	M0	M1	0	2	0.349800083	0.65024	0.34973	0.00004	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:thumbnail	164068	M0	M1	0	1	0.349635517	0.65036	0.34964	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbp:type	164068	M0	ANY	0	20	0.294237755	0.74993	0.21608	0.02659	0.00529	0.00171	0.00027	0.0001	0.00001	0.00001	0.00001	0	0	0	0
dbo:Organization	dbp:pastMembers	164068	M0	ANY	0	94	0.264853597	0.94493	0.0135	0.00606	0.00591	0.0061	0.00553	0.00427	0.00357	0.00223	0.00185	0.00141	0.00106	0.00074	0.00059
dbo:Organization	dbp:currentMembers	164068	M0	ANY	0	51	0.245575005	0.93768	0.00813	0.00647	0.00911	0.01724	0.01349	0.00422	0.00132	0.00084	0.00034	0.00021	0.00021	0.00013	0.00012
dbo:Organization	dbp:website	164068	M0	ANY	0	31	0.23744423	0.7696	0.22586	0.00356	0.00057	0.00015	0.00013	0.00001	0.00004	0.00001	0.00001	0.00001	0.00001	0	0
dbo:Organization	dbp:genre	164068	M0	ANY	0	16	0.230489797	0.90601	0.03252	0.02325	0.01875	0.01014	0.0051	0.00224	0.00112	0.00048	0.00017	0.00007	0.00007	0.00005	0.00001
dbo:Organization	dbo:genre	164068	M0	ANY	0	16	0.223986396	0.90945	0.02842	0.02435	0.01938	0.01003	0.00478	0.00194	0.0009	0.00038	0.00016	0.00008	0.00005	0.00004	0.00001
dbo:Organization	dbp:location	164068	M0	ANY	0	465	0.217202623	0.8736	0.07162	0.03844	0.01317	0.00223	0.0004	0.00015	0.00012	0.00005	0.00002	0.00001	0.00002	0	0.00002
dbo:Organization	dbp:country	164068	M0	ANY	0	15	0.216763781	0.78677	0.21051	0.00235	0.00024	0.00004	0.00003	0.00001	0.00001	0.00002	0.00001	0	0	0	0.00001
dbo:Organization	dbo:type	164068	M0	ANY	0	8	0.214405003	0.82081	0.15309	0.01947	0.00461	0.00167	0.00024	0.00007	0.00002	0.00001	0	0	0	0	0
dbo:Organization	geo:lat	164068	M0	M1	0	6	0.20660336	0.79432	0.20478	0.00088	0.00001	0	0	0.00001	0	0	0	0	0	0	0
dbo:Organization	geo:long	164068	M0	M1	0	6	0.20659117	0.79432	0.20479	0.00087	0.00001	0	0	0.00001	0	0	0	0	0	0	0
dbo:Organization	georss:point	164068	M0	M1	0	6	0.205317307	0.7958	0.20312	0.00107	0.00001	0	0	0.00001	0	0	0	0	0	0	0
